Q96SW2	Q96SW2
Q9ULW0	Q9ULW0
P06737	P06737
P06737	P11216
P06737	P11217
Q06259	Q06259
P14242	P14242
P14242	P54278
P25385	P25385
A8MTZ0	A8MTZ0
A8KAG1	A8KAG1
Q9P121	Q9P121
P14678	P14678
Q8AZK7	Q8AZK7
P12383	P12383
P12383	P33200
Q8TAD8	Q8TAD8
Q8TAD8	Q07930
O96561	O96561
P02810	P02810
Q9FE22	Q9FE22
Q9FE22	O80536
Q9FE22	Q84LH8
Q9FE22	Q8W2F3
Q9NQQ7	Q9NQQ7
P01241	P01241
P01241	P0DML2
P33891	P33891
O22607	O22607
O22607	Q16576
O22607	Q09028
Q9GSX9	Q9GSX9
Q7BU69	Q7BU69
Q14746	Q14746
Q91X05	Q91X05
Q91X05	P27105
Q91X05	P54116
Q8L3K8	Q8L3K8
Q7X6P3	Q7X6P3
Q9UJV3	Q9UJV3
Q9UJV3	O15344
Q12050	Q12050
Q12518	Q12518
P17076	P17076
Q60841	Q60841
Q14118	Q14118
Q9WVG6	Q9WVG6
Q9WVG6	Q86X55
Q9WVG6	P38074
Q9WVG6	Q9NR22
Q9WVG6	Q99873
Q9WVG6	Q9JIF0
Q9WVG6	Q63009
Q9WVG6	Q9SU94
Q9WVG6	O82210
O75844	O75844
A2AUM9	A2AUM9
Q86WT6	Q86WT6
P62877	P62877
Q9LM25	Q9LM25
O94717	O94717
O15144	O15144
O15144	Q9CVB6
O15144	Q3MHR7
P38117	P38117
O43156	O43156
P05090	P05090
Q53EP0	Q53EP0
Q9H1C7	Q9H1C7
Q9H1C7	Q12489
Q96KS9	Q96KS9
Q02742	Q02742
P55085	P55085
P55085	Q9NS75
P23615	P23615
P22336	P22336
P19334	P19334
P19334	P48995
P19334	G1U2U3
P19334	Q9QZC1
P19334	Q13507
Q91ZQ0	Q91ZQ0
P32639	P32639
P32639	O75643
P0C0L4	P0C0L4
P0C0L4	P01024
Q9BXC9	Q9BXC9
P27884	P27884
P27884	Q13936
P27884	P27732
P27884	O35505
P27884	Q01668
P27884	Q02294
Q9UEU0	Q9UEU0
Q9UEU0	O88384
Q8N2Z9	Q8N2Z9
P05060	P05060
P53987	P53987
P53987	O15427
P53987	O60669
P15529	P15529
P15529	P02749
P15529	P17927
Q96FW1	Q96FW1
Q96FW1	Q96DC9
Q83XN4	Q83XN4
Q83XN4	Q52VH2
Q99176	Q99176
Q96EF6	Q96EF6
